date;tratio;tdef;relawat
2019-01-01;0.999471018652653;2.14717156796773e-05;0.994711525784799
2019-01-02;1;0;0.996597557879813
2019-01-03;0.987201901442642;0.000384233456015782;0.99731996987582
2019-01-04;0.999972203654182;7.75544753178065e-07;0.997063875442115
2019-01-05;1;0;0.998988321026657
2019-01-06;1;0;1.00074198271153
2019-01-07;1;0;1.00234519503333
2019-01-08;1;0;1.00403184018961
2019-01-09;1;0;1.00578204942026
2019-01-10;1;1.04083408558608e-17;1.00749212891789
2019-01-11;0.985016838448255;0.000239030600205397;1.00636684010506
2019-01-12;0.999975534783535;6.79016000613986e-07;1.00504818805837
2019-01-13;1;0;1.00687556825243
2019-01-14;1;1.73472347597681e-18;1.00867635785991
2019-01-15;1;3.46944695195361e-18;1.01026342679151
2019-01-16;1;6.93889390390723e-18;1.01168996384067
2019-01-17;1;8.67361737988404e-19;1.01342971390086
2019-01-18;1;7.70371977754894e-34;1.01521138727028
2019-01-19;1;0;1.01696930608366
2019-01-20;1;0;1.0187036939613
2019-01-21;1;0;1.02014982130384
2019-01-22;1;6.93889390390723e-18;1.02153823643537
2019-01-23;1;0;1.02315500404266
2019-01-24;1;0;1.02475132310928
2019-01-25;1;0;1.02619732305042
2019-01-26;1;0;1.02742560898361
2019-01-27;1;8.67361737988404e-19;1.02894693980987
2019-01-28;1;0;1.03050600983997
2019-01-29;1;0;1.03204316775672
2019-01-30;1;5.77778983316171e-34;1.03355842269645
2019-01-31;1;7.70371977754894e-34;1.03505176995099
2019-02-01;1;0;1.03652320033111
2019-02-02;1;0;1.09415760105614
2019-02-03;1;0;1.09467597868128
2019-02-04;1;0;1.09516379189576
2019-02-05;1;0;1.09560928236307
2019-02-06;1;0;1.09601321467609
2019-02-07;1;0;1.09617227756378
2019-02-08;1;0;1.09626357946711
2019-02-09;1;0;1.09617155017689
2019-02-10;1;0;1.09638667987977
2019-02-11;1;0;1.09664581685494
2019-02-12;1;0;1.09655667022071
2019-02-13;1;0;1.09628281290655
2019-02-14;1;0;1.09582638203736
2019-02-15;1;1.38777878078145e-17;1.09522998493834
2019-02-16;1;1.38777878078145e-17;1.09453569067209
2019-02-17;1;0;1.09382226915396
2019-02-18;1;0;1.09317564901879
2019-02-19;1;0;1.0927066542492
2019-02-20;1;0;1.09225024808466
2019-02-21;1;0;1.09181011534611
2019-02-22;1;0;1.09156578761059
2019-02-23;1;1.38777878078145e-17;1.09124207461008
2019-02-24;1;0;1.09068199948416
2019-02-25;1;1.38777878078145e-17;1.08984299964108
2019-02-26;1;0;1.08744405817777
2019-02-27;1;1.11022302462516e-16;1.08351906977167
2019-02-28;1;0;1.08021281515303
2019-03-01;1;2.08166817117217e-17;1.08013977326806
2019-03-02;1;0;1.08002527521956
2019-03-03;1;1.38777878078145e-17;1.07989701173308
2019-03-04;1;0;1.08031183086161
2019-03-05;1;4.33680868994202e-19;1.08076906134715
2019-03-06;1;3.46944695195361e-18;1.08099569242838
2019-03-07;1;4.33680868994202e-19;1.14704970886335
