date;tratio;tdef;relawat
2019-01-01;1;0;0.992918820255352
2019-01-02;1;0;0.992841391875246
2019-01-03;1;0;0.992627335078847
2019-01-04;1;0;0.991921460690452
2019-01-05;1;0;0.991558360411167
2019-01-06;1;0;0.991155692141779
2019-01-07;1;0;0.990731576801846
2019-01-08;1;0;0.99029901931084
2019-01-09;1;0;0.989867263984324
2019-01-10;1;0;0.989442762935199
2019-01-11;1;0;0.989029893233531
2019-01-12;1;0;0.988631495436858
2019-01-13;1;0;0.988249279707507
2019-01-14;1;0;0.987884132103075
2019-01-15;1;0;0.987536345155061
2019-01-16;1;0;0.987205790940144
2019-01-17;1;0;0.986892050485909
2019-01-18;1;0;0.986594510057196
2019-01-19;1;0;0.986312485752007
2019-01-20;1;0;0.986045140361971
2019-01-21;1;0;0.98579159156979
2019-01-22;1;0;0.985550982484132
2019-01-23;1;0;0.985322479006427
2019-01-24;1;0;0.985105275530087
2019-01-25;1;0;0.984898601159948
2019-01-26;1;0;0.984701724340856
2019-01-27;1;0;0.98451395563431
2019-01-28;1;0;0.984334648915378
2019-01-29;1;0;0.98416320135984
2019-01-30;1;0;0.983999052557193
2019-01-31;1;0;0.983841683020654
2019-02-01;1;0;0.983690612302736
2019-02-02;1;0;1.04727297009305
2019-02-03;1;0;1.04493899275892
2019-02-04;1;0;1.04251203261686
2019-02-05;1;0;1.04000588194489
2019-02-06;1;0;1.03748925096908
2019-02-07;1;0;1.03502292115811
2019-02-08;1;0;1.03263358378899
2019-02-09;1;0;1.03034534841161
2019-02-10;1;0;1.02816869061817
2019-02-11;1;0;1.02610719034511
2019-02-12;1;0;1.02416002314641
2019-02-13;1;0;1.02232364753275
2019-02-14;1;0;1.02059356828663
2019-02-15;1;0;1.01896709722753
2019-02-16;1;0;1.01742894737804
2019-02-17;1;0;1.01597782906177
2019-02-18;1;0;1.01460766938862
2019-02-19;1;0;1.01331503650765
2019-02-20;1;0;1.01208925261504
2019-02-21;1;0;1.01092808249427
2019-02-22;1;0;1.00982862151317
2019-02-23;1;0;1.00878187911939
2019-02-24;1;0;1.0077863950359
2019-02-25;1;0;1.00683854650856
2019-02-26;1;0;1.05057381519287
2019-02-27;1;0;1.16679477202123
2019-02-28;1;0;1.24514969461604
2019-03-01;1;0;1.22320469821956
2019-03-02;1;0;1.19845538772167
2019-03-03;1;0;1.17733780440923
2019-03-04;1;0;1.17370376029968
2019-03-05;1;0;1.15744681556009
2019-03-06;1;0;1.14358013254367
2019-03-07;1;0;1.237394779751
2019-03-08;1;0;1.25659499328434
2019-03-09;1;0;1.2230410183756
2019-03-10;1;0;1.19422631890502
2019-03-11;1;0;1.17205670775121
2019-03-12;1;0;1.15468093835964
2019-03-13;1;0;1.14078792517083
2019-03-14;1;0;1.1293739212691
2019-03-15;1;0;1.11969741841119
2019-03-16;1;0;1.16796776956915
2019-03-17;1;0;1.17164929987673
2019-03-18;1;0;1.15738322394422
2019-03-19;1;0;1.14442091460097
2019-03-20;1;0;1.13296187835381
2019-03-21;1;0;1.12287132468282
2019-03-22;1;0;1.13747455241046
2019-03-23;1;0;1.27364818354375
2019-03-24;1;0;1.33238595011987
2019-03-25;1;0;1.28293023233551
2019-03-26;1;0;1.2264023194518
2019-03-27;1;0;1.19411669194921
2019-03-28;1;0;1.17171558241619
2019-03-29;1;0;1.17097193812542
2019-03-30;1;0;1.22683947248606
2019-03-31;1;0;1.24825251351375
2019-04-01;1;0;1.23631527004636
2019-04-02;1;0;1.23459792977979
2019-04-03;1;0;1.32781478569262
2019-04-04;1;0;1.3666358789843
2019-04-05;1;0;1.34515072850601
2019-04-06;1;0;1.24647514049151
2019-04-07;1;0;1.21053170623766
2019-04-08;1;0;1.21903475284973
2019-04-09;1;0;1.25985337559776
2019-04-10;1;0;1.28964402317305
2019-04-11;1;0;1.28797615817553
2019-04-12;1;0;1.2362089563679
2019-04-13;1;0;1.25143452565353
2019-04-14;1;0;1.23033400596734
2019-04-15;1;0;1.20709551735073
2019-04-16;1;0;1.20647001696802
2019-04-17;1;0;1.18306644221596
2019-04-18;1;0;1.17775825427076
2019-04-19;1;0;1.15975000327243
2019-04-20;1;0;1.1250080891807
2019-04-21;1;0;1.11088048573451
2019-04-22;1;0;1.1012941171155
2019-04-23;1;0;1.30273830951958
2019-04-24;1;0;1.33055642709103
2019-04-25;1;0;1.2591249274193
2019-04-26;1;0;1.31296287407
2019-04-27;1;0;1.26690971771409
2019-04-28;1;0;1.31751569130297
2019-04-29;1;0;1.28936199186452
2019-04-30;1;0;1.26206781479115
2019-05-01;1;0;1.27635862775075
2019-05-02;1;0;1.31197491389592
2019-05-03;1;0;1.32135231226726
2019-05-04;1;0;1.29711356198694
2019-05-05;1;0;1.27061852634918
2019-05-06;1;0;1.22238533423578
2019-05-07;1;0;1.19195233908089
2019-05-08;1;0;1.21346956941039
2019-05-09;1;0;1.33335585654405
2019-05-10;1;0;1.28552142967611
2019-05-11;1;0;1.3347808385485
2019-05-12;1;0;1.31617135312906
2019-05-13;1;0;1.24989027733707
2019-05-14;1;0;1.20722508524831
2019-05-15;1;0;1.19608966528707
2019-05-16;1;0;1.18664517707247
2019-05-17;1;0;1.18755115841726
2019-05-18;1;0;1.25936863966801
2019-05-19;1;0;1.29244088737764
2019-05-20;1;0;1.2978923035988
2019-05-21;1;0;1.2605774677372
2019-05-22;1;0;1.21077076981305
2019-05-23;1;0;1.16274265179159
2019-05-24;1;0;1.12970440617931
2019-05-25;1;0;1.18168570043813
2019-05-26;1;0;1.17376582913762
2019-05-27;1;0;1.22776710755493
2019-05-28;1;0;1.30291856396015
2019-05-29;1;0;1.31775085816133
2019-05-30;1;0;1.22407061298451
2019-05-31;1;0;1.18769815359963
2019-06-01;1;0;1.14413717275593
2019-06-02;1;0;1.11124768979328
2019-06-03;1;0;1.09018621770749
2019-06-04;1;0;1.11323582117849
2019-06-05;1;0;1.15511895391192
2019-06-06;1;0;1.24440444455257
2019-06-07;1;0;1.19601049375402
2019-06-08;0.998062859915288;0.00124488293888714;1.15795710279879
2019-06-09;0.999761173057927;0.000220716625224715;1.14945756122282
2019-06-10;1;0;1.16339038621745
2019-06-11;1;0;1.27930933497551
2019-06-12;1;0;1.34374957438677
2019-06-13;1;2.22044604925031e-16;1.23001183038544
2019-06-14;1;0;1.17394389486973
2019-06-15;1;0;1.1972483659105
2019-06-16;1;0;1.20836258977285
2019-06-17;1;0;1.19514087237103
2019-06-18;1;0;1.20396543671557
2019-06-19;1;0;1.21474001926768
2019-06-20;1;0;1.25627569900704
2019-06-21;1;0;1.31877062811943
2019-06-22;1;5.55111512312578e-17;1.33211057221241
2019-06-23;1;2.22044604925031e-16;1.22922202523207
2019-06-24;1;8.88178419700125e-16;1.16621795219056
2019-06-25;0.999648780321901;0.00123657127191601;1.11439514433991
2019-06-26;0.999408470923694;0.0024601252284322;1.06274912674418
2019-06-27;0.999007000120853;0.00487048999605655;1.00714200579943
2019-06-28;0.999127775247429;0.00395060879594311;0.961324972645971
2019-06-29;0.999216479421912;0.00330394420039237;0.921037740825343
2019-06-30;0.999379518687014;0.00222698972465274;0.891141006486801
2019-07-01;1;0;0.924285824117159
2019-07-02;1;0;0.988037641690376
2019-07-03;1;0;1.04195551619065
2019-07-04;0.999916153303133;9.8230023631185e-05;1.03986075493098
2019-07-05;0.999566477287621;0.00156846614675032;1.00452663513731
2019-07-06;1;0;0.996952883855868
2019-07-07;1;0;1.01260519952147
2019-07-08;1;0;1.02399766434338
2019-07-09;1;0;1.0739329319151
2019-07-10;0.999868411272867;0.000151533163051276;1.06711323371167
2019-07-11;1;0;1.07352864418853
2019-07-12;0.999836172031724;0.00024470506234997;1.07053634745705
2019-07-13;0.99957588585072;0.00116132872973562;1.04446701844515
2019-07-14;1;0;1.05489364710228
2019-07-15;1;0;1.06863322834442
2019-07-16;0.999596299090672;0.00110770668561289;1.03582582026128
2019-07-17;1;0;1.06666595098454
2019-07-18;0.999991980888057;7.6073849466507e-06;1.06408642870891
2019-07-19;0.999861201866304;0.000381433794238717;1.0397202922487
2019-07-20;1;0;1.03705618549299
2019-07-21;1;0;1.05979769486949
2019-07-22;0.999753019505343;0.000657544135485466;1.03232489912979
2019-07-23;0.999724345350843;0.00103334393496546;0.996585738192379
2019-07-24;1;0;0.988839343698717
2019-07-25;1;0;1.00220088917033
2019-07-26;1;0;1.02148483061569
2019-07-27;1;0;1.16407345455743
2019-07-28;1;0;1.27600875634994
2019-07-29;1;0;1.26048665517453
2019-07-30;1;0;1.28965787254636
2019-07-31;1;0;1.30405443456144
2019-08-01;1;0;1.26475069905882
2019-08-02;1;0;1.33571910163856
2019-08-03;1;0;1.22423084694236
2019-08-04;1;0;1.16892086723995
2019-08-05;1;0;1.16802234975377
2019-08-06;1;0;1.16498662316133
2019-08-07;1;0;1.32864532485109
2019-08-08;1;6.93889390390723e-18;1.26558281518571
2019-08-09;1;0;1.19075734733087
2019-08-10;1;0;1.15984687151397
2019-08-11;1;0;1.15493729724286
2019-08-12;1;0;1.2593449790612
2019-08-13;1;2.77555756156289e-17;1.33812740112719
2019-08-14;1;0;1.24884901858645
2019-08-15;1;1.11022302462516e-16;1.22830071920744
2019-08-16;1;0;1.18327722553621
2019-08-17;0.999817896468368;0.000620411867773285;1.1298460017926
2019-08-18;0.999832378062265;0.000548696038043417;1.08825571603184
2019-08-19;1;0;1.19403502089234
2019-08-20;1;0;1.23864404750639
2019-08-21;1;0;1.34360056887392
2019-08-22;1;0;1.31091128964826
2019-08-23;1;0;1.30526569033718
2019-08-24;1;0;1.26447017549744
2019-08-25;1;0;1.23241873339004
2019-08-26;1;0;1.24170628148011
2019-08-27;1;0;1.20070525001664
2019-08-28;1;0;1.17421810033027
2019-08-29;1;0;1.19121918125266
2019-08-30;1;0;1.19891021066896
2019-08-31;1;0;1.29626013009607
2019-09-01;1;0;1.26158050096532
2019-09-02;1;0;1.31378120146191
2019-09-03;1;4.44089209850063e-16;1.22060791389057
2019-09-04;0.999971212917668;0.00010990755258744;1.1532653067051
2019-09-05;0.99977064900526;0.000527487784869329;1.12204043316336
2019-09-06;1;0;1.19157124092538
2019-09-07;1;4.93038065763132e-32;1.28135687107711
2019-09-08;1;0;1.3437824185209
2019-09-09;1;0;1.26764489358295
2019-09-10;1;0;1.21141527793809
2019-09-11;1;0;1.16983639589194
2019-09-12;0.999810929909476;0.000521932438880324;1.12382506008258
2019-09-13;0.99968481259287;0.00118743361957474;1.0753677006156
2019-09-14;0.99993406860324;0.00012880957388206;1.0537159811455
2019-09-15;0.999764208193686;0.000757466701541532;1.01774616877689
2019-09-16;0.999647995898911;0.00115930559998212;0.984733939808372
2019-09-17;0.99976996669389;0.000566004467475345;0.963535325494969
2019-09-18;1;0;0.958024696379107
2019-09-19;0.999991738693141;1.39361152973194e-05;0.951288013349263
2019-09-20;0.999715941794101;0.000778473341775943;0.92471686454656
2019-09-21;0.999393839360249;0.00179979644282735;0.895923192548302
2019-09-22;1;0;0.91048057692456
2019-09-23;1;0;1.05962444050845
2019-09-24;0.99949917767418;0.000323288496701379;1.04867477895273
2019-09-25;1;0;1.13517889567408
2019-09-26;1;1.11022302462516e-16;1.11657580838663
2019-09-27;0.999907061757055;9.8960066260867e-05;1.10060803232982
2019-09-28;0.999980846397453;1.77309292521688e-05;1.09429868007098
2019-09-29;0.999929374904342;7.66197413057945e-05;1.08452064472154
2019-09-30;0.999738217618944;0.000582670370955718;1.06208160356119
2019-10-01;1;0;1.0774963003722
2019-10-02;1;0;1.24039460224613
2019-10-03;1;0;1.20711133877529
2019-10-04;1;0;1.17515111952553
2019-10-05;0.999778009593737;0.000312664277183572;1.14324468035545
2019-10-06;1;0;1.14939779392235
2019-10-07;1;0;1.13560157401599
2019-10-08;0.999662480253729;0.000479108203278233;1.10760629658341
2019-10-09;1;0;1.12084112580642
2019-10-10;0.999603656657974;0.000281997013857005;1.10520801544928
2019-10-11;0.999548733688547;0.000890302302114954;1.07565091681948
2019-10-12;0.999582251861232;0.000826408191092698;1.04816655226849
2019-10-13;0.999670640116968;0.000626804041709228;1.02299130145989
2019-10-14;0.999667135952712;0.000717184289632744;0.997813201493304
2019-10-15;1;0;1.0971273445249
2019-10-16;1;0;1.16391692678735
2019-10-17;1;0;1.14311689412986
2019-10-18;1;0;1.12917411763414
2019-10-19;1;0;1.13818664720801
2019-10-20;1;0;1.128117789444
2019-10-21;0.999934810094399;3.08825041780425e-05;1.12403426839992
2019-10-22;0.999428442054187;0.00118248469680227;1.09064343237547
2019-10-23;0.999243313497645;0.00160579264621896;1.05879976195902
2019-10-24;0.999722282899382;0.000361488104767771;1.0438845388601
2019-10-25;0.99936586806877;0.000918069663297105;1.02176453225987
2019-10-26;0.999195316202709;0.00161654334574335;0.994743300079509
2019-10-27;0.99892253839571;0.00217632966957559;0.969148271396612
2019-10-28;1;0;0.980928620142524
2019-10-29;1;0;1.04404740982855
2019-10-30;0.596164625599017;1.11797931400693e-17;1.08725814490808
2019-10-31;1;0;1.08780688390863
2019-11-01;0.999188382101018;0.000427516675876927;1.07624058308106
2019-11-02;1;0;1.08535939293832
2019-11-03;0.972363748670572;3.04674533042241e-19;1.35711813653715
2019-11-04;1;0;1.28390090874112
2019-11-05;1;0;1.32959505147529
2019-11-06;1;0;1.28475275295153
2019-11-07;1;0;1.23412486859443
2019-11-08;1;0;1.33911017360768
2019-11-09;1;0;1.24403115735245
2019-11-10;1;0;1.20557944795658
2019-11-11;1;0;1.18016221039309
2019-11-12;1;0;1.27951250637893
2019-11-13;1;0;1.23440488907023
2019-11-14;1;0;1.20060267886043
2019-11-15;1;0;1.17643974005837
2019-11-16;1;0;1.20824859929239
2019-11-17;1;0;1.35417080122478
2019-11-18;1;0;1.24587767527968
2019-11-19;1;0;1.29689592267843
2019-11-20;1;0;1.30691169791517
2019-11-21;1;0;1.2706636990781
2019-11-22;1;0;1.25873368657955
2019-11-23;1;0;1.33831133609087
2019-11-24;1;0;1.34637679583227
2019-11-25;1;0;1.3056305850868
2019-11-26;1;0;1.29193203575924
2019-11-27;1;0;1.26153100686316
2019-11-28;1;0;1.21841301850826
2019-11-29;1;0;1.18943145307136
2019-11-30;1;0;1.16843061728139
2019-12-01;1;0;1.15219637115065
2019-12-02;1;0;1.1390844603599
2019-12-03;1;0;1.12795018916037
2019-12-04;1;0;1.11851010270415
2019-12-05;1;0;1.11022200347248
2019-12-06;1;0;1.10296039620968
2019-12-07;1;0;1.09646980311253
2019-12-08;1;0;1.09058702453515
2019-12-09;1;0;1.08525034338337
2019-12-10;1;0;1.08039704266038
2019-12-11;1;0;1.07592196305308
2019-12-12;1;0;1.07181373090229
2019-12-13;1;0;1.06798833313152
2019-12-14;1;0;1.06444142889974
2019-12-15;1;0;1.06112599084898
2019-12-16;1;0;1.05803206512608
2019-12-17;1;0;1.05511773012743
2019-12-18;1;0;1.06016870147862
2019-12-19;1;0;1.25964199753987
2019-12-20;1;0;1.343209783006
2019-12-21;1;0;1.28535710894587
2019-12-22;1;0;1.23271548878229
2019-12-23;1;0;1.19855488961535
2019-12-24;1;0;1.17519210606196
2019-12-25;1;0;1.15748606418917
2019-12-26;1;0;1.14339355299958
2019-12-27;1;0;1.13162006830496
2019-12-28;1;0;1.12171627187184
2019-12-29;1;0;1.11306909109627
2019-12-30;1;0;1.10551326143782
2019-12-31;1;0;1.098779706582
2020-01-01;1;0;1.09269261398661
2020-01-02;1;0;1.08718183460265
2020-01-03;1;0;1.08215905142051
2020-01-04;1;0;1.07756514245067
