date;tratio;tdef;relawat
2019-01-01;0.999501043339326;2.52215990351468e-05;0.992464414765743
2019-01-02;1;0;0.992120876505117
2019-01-03;0.991413646816744;0.000286449664237215;0.990610771909831
2019-01-04;0.999923258951881;2.61659775058903e-06;0.98811619293708
2019-01-05;1;0;0.987675081555575
2019-01-06;1;0;0.987078309923585
2019-01-07;1;1.38777878078145e-17;0.986354245185127
2019-01-08;1;6.93889390390723e-18;0.985746827781851
2019-01-09;1;0;0.985242631569477
2019-01-10;1;0;0.984742285105139
2019-01-11;0.989170695794953;0.000220730417871663;0.981620948216325
2019-01-12;0.999959797195581;1.39777629916404e-06;0.978382131843432
2019-01-13;1;0;0.978220296018938
2019-01-14;1;0;0.978012436270193
2019-01-15;1;0;0.97769658263122
2019-01-16;1;6.93889390390723e-18;0.977202475997907
2019-01-17;1;1.73472347597681e-18;0.977119557514415
2019-01-18;1;0;0.977153019164874
2019-01-19;1;0;0.977181926731958
2019-01-20;1;0;0.97688080347809
2019-01-21;1;0;0.976519507178849
2019-01-22;1;0;0.976184065994716
2019-01-23;1;0;0.976179790646597
2019-01-24;1;0;0.976089532005772
2019-01-25;1;3.46944695195361e-18;0.975965413931032
2019-01-26;1;2.08166817117217e-17;0.975640213731918
2019-01-27;1;3.46944695195361e-18;0.975634825741297
2019-01-28;1;0;0.975737380081731
2019-01-29;1;0;0.975596457858211
2019-01-30;1;0;0.975593440859609
2019-01-31;1;0;0.975698435863498
2019-02-01;0.999999999999999;3.85185988877447e-33;0.975801155277841
2019-02-02;1;0;1.02958736204976
2019-02-03;1;0;1.02796339581206
2019-02-04;1;0;1.02627108251753
2019-02-05;1;0;1.02451713038521
2019-02-06;1;0;1.02242784222958
2019-02-07;1;0;1.02003309634501
2019-02-08;1;0;1.01793737218047
2019-02-09;1;1.38777878078145e-17;1.01575174567861
2019-02-10;0.999999999999999;6.93889390390723e-18;1.01411525385436
2019-02-11;1;0;1.0126447394373
2019-02-12;1;6.93889390390723e-18;1.01084904106637
2019-02-13;1;0;1.00899501195673
2019-02-14;1;1.38777878078145e-17;1.00703675789299
2019-02-15;1;1.38777878078145e-17;1.00498922832594
2019-02-16;1;0;1.00288754472785
2019-02-17;1;0;1.00081965738915
2019-02-18;1;0;0.998899876052009
2019-02-19;1;0;0.997269873680975
2019-02-20;1;0;0.995706126604688
2019-02-21;1;0;0.994286349935636
2019-02-22;1;1.38777878078145e-17;0.993214156581055
2019-02-23;1;0;0.9920693773614
2019-02-24;1;0;0.990693509819326
2019-02-25;1;2.77555756156289e-17;0.98874931565427
2019-02-26;1;5.55111512312578e-17;0.984430600293412
2019-02-27;1;0;0.984496799344196
2019-02-28;1;0;0.997000357576
2019-03-01;1;0;0.996977781914253
2019-03-02;1;0;0.995737173911117
2019-03-03;1;0;0.994465961997494
2019-03-04;1;1.73472347597681e-18;0.993891787235838
2019-03-05;1;0;0.993189736911988
2019-03-06;1;0;0.992293004413295
2019-03-07;1;8.67361737988404e-19;1.06071674370339
2019-03-08;1;0;1.09816250400033
2019-03-09;1;0;1.09352398263586
2019-03-10;1;6.93889390390723e-18;1.08780146734527
2019-03-11;1;0;1.08181680626154
2019-03-12;1;0;1.07584917901646
2019-03-13;1;0;1.07057397442251
2019-03-14;1;0;1.06564528644078
2019-03-15;1;0;1.06104072669519
2019-03-16;1;0;1.05247096464372
2019-03-17;1;0;1.04848008521902
2019-03-18;1;1.73472347597681e-18;1.0452345576364
2019-03-19;1;0;1.04234110854373
2019-03-20;1;3.46944695195361e-18;1.03945270709841
2019-03-21;1;2.77555756156289e-17;1.03576319912219
2019-03-22;1;0;1.02687324497219
2019-03-23;1;0;1.01489372219199
2019-03-24;1;0;1.03272356984677
2019-03-25;1;5.55111512312578e-17;1.04050355424684
2019-03-26;1;0;1.03721763371266
2019-03-27;1;0;1.03432308120306
2019-03-28;1;1.38777878078145e-17;1.03134846769604
2019-03-29;1;0;1.02647980985078
2019-03-30;1;1.11022302462516e-16;1.01841747692019
2019-03-31;1;1.11022302462516e-16;1.01939279427772
2019-04-01;1;0;1.05145495557427
2019-04-02;1;0;1.07752703716789
2019-04-03;1;0;1.22090166320366
2019-04-04;1;0;1.34821173487654
2019-04-05;1;0;1.35442354646699
2019-04-06;1;0;1.25814067886065
2019-04-07;1;0;1.22227858954581
2019-04-08;1;0;1.21977515386362
2019-04-09;1;0;1.24899561952027
2019-04-10;1;0;1.30513055380892
2019-04-11;1;1.23259516440783e-32;1.2897397904179
2019-04-12;1;0;1.2389801955975
2019-04-13;1;0;1.22531024602506
2019-04-14;1;0;1.19784293164071
2019-04-15;1;0;1.17805541823227
2019-04-16;1;5.55111512312578e-17;1.17482732889407
2019-04-17;1;0;1.16857544625709
2019-04-18;1;2.77555756156289e-17;1.17067298940708
2019-04-19;1;0;1.17128574896862
2019-04-20;1;0;1.17172076959043
2019-04-21;1;0;1.17270497312176
2019-04-22;1;0;1.17473877355127
2019-04-23;1;1.73472347597681e-18;1.34581664868444
2019-04-24;1;0;1.3362364367199
2019-04-25;1;0;1.28521590303152
2019-04-26;1;0;1.32795563958059
2019-04-27;1;1.38777878078145e-17;1.26362442534665
2019-04-28;1;1.73472347597681e-18;1.30386207502373
2019-04-29;1;0;1.27535760514503
2019-04-30;1;0;1.23057908762866
2019-05-01;1;0;1.2060672594879
2019-05-02;1;0;1.21057589423624
2019-05-03;1;0;1.32859902373699
2019-05-04;1;1.23259516440783e-32;1.30704974823907
2019-05-05;1;0;1.26301775885413
2019-05-06;1;0;1.21790097769715
2019-05-07;1;0;1.18892111092304
2019-05-08;1;0;1.1800447941853
2019-05-09;1;0;1.22024432914124
2019-05-10;1;0;1.22608225951774
2019-05-11;1;0;1.34338216053365
2019-05-12;1;0;1.31190143179402
2019-05-13;1;0;1.25358548742594
2019-05-14;1;0;1.21208030507626
2019-05-15;1;0;1.19139452003812
2019-05-16;1;2.77555756156289e-17;1.18228099203209
2019-05-17;1;0;1.20218486713907
2019-05-18;1;0;1.28239637343838
2019-05-19;1;0;1.31890953858338
2019-05-20;0.960417329503366;1.44615794172395e-18;1.2960940923164
2019-05-21;1;6.93889390390723e-18;1.24999507748304
2019-05-22;1;2.22044604925031e-16;1.20223506386823
2019-05-23;1;0;1.15811730521302
2019-05-24;0.999730107379625;0.000566257855932673;1.1220361710792
2019-05-25;1;0;1.16419554372755
2019-05-26;1;1.11022302462516e-16;1.15411451363734
2019-05-27;1;0;1.19944802950921
2019-05-28;1;0;1.28633401064061
2019-05-29;1;0;1.31948442016107
2019-05-30;1;0;1.23028870007104
2019-05-31;1;4.44089209850063e-16;1.18075357727966
2019-06-01;0.999615001947771;0.000840415986854026;1.13611025970353
2019-06-02;0.999665851651616;0.000756246110761527;1.09988002516477
2019-06-03;0.999640781185385;0.000734031226997889;1.07299080504879
2019-06-04;1;0;1.07942460104291
2019-06-05;1;0;1.11219184223115
2019-06-06;1;0;1.19981158575054
2019-06-07;1;4.44089209850063e-16;1.16492571140315
2019-06-08;0.99990930458987;0.000191238230995427;1.13179480547785
2019-06-09;0.999895802358192;0.000174617417648903;1.11755788328623
2019-06-10;1;0;1.12144071364797
2019-06-11;1;0;1.24088173078223
2019-06-12;1;0;1.34790612779987
2019-06-13;1;0;1.22946834781579
2019-06-14;1;4.44089209850063e-16;1.17368445389557
2019-06-15;1;0;1.19100291322743
2019-06-16;1;2.22044604925031e-16;1.1974692985576
2019-06-17;1;0;1.17891818070375
2019-06-18;1;0;1.18638555695539
2019-06-19;1;0;1.19780168138558
2019-06-20;1;0;1.24349176338483
2019-06-21;1;0;1.31573597131988
2019-06-22;1;0;1.33173988265159
2019-06-23;1;0;1.23038632337158
2019-06-24;1;0;1.17201419799599
2019-06-25;0.999762530409033;0.000667575070278481;1.1252848121743
2019-06-26;0.999596000817653;0.00129193519752491;1.08091176723583
