date;tratio;tdef;relawat
2019-01-01;1;0;0.994088942980019
2019-01-02;1;0;0.994907520551994
2019-01-03;1;0;0.995619228440272
2019-01-04;1;0;0.995859357901965
2019-01-05;1;0;0.996412271481041
2019-01-06;1;0;0.996899986213462
2019-01-07;1;0;0.997340768628541
2019-01-08;1;0;0.997739889543727
2019-01-09;1;0;0.99810487504866
2019-01-10;1;0;0.998440524087886
2019-01-11;1;0;0.998754598042497
2019-01-12;1;0;0.999049600077498
2019-01-13;1;0;0.999328110334898
2019-01-14;1;0;0.99959427350894
2019-01-15;1;0;0.99984939749446
2019-01-16;1;0;1.00009479346784
2019-01-17;1;0;1.00033266457653
2019-01-18;1;0;1.00056335220402
2019-01-19;1;0;1.00078834144071
2019-01-20;1;0;1.00100790644305
2019-01-21;1;0;1.00122254023873
2019-01-22;1;0;1.00143302300947
2019-01-23;1;0;1.00163936134331
2019-01-24;1;0;1.00184182835065
2019-01-25;1;0;1.00204085054995
2019-01-26;1;0;1.00223621246779
2019-01-27;1;0;1.00242842224989
2019-01-28;1;0;1.00261729370625
2019-01-29;1;0;1.00280291823123
2019-01-30;1;0;1.00298553288119
2019-01-31;1;0;1.00316483390443
2019-02-01;1;0;1.00334124601703
2019-02-02;1;0;1.06354792696079
2019-02-03;1;0;1.06199790943212
2019-02-04;1;0;1.06034257840877
2019-02-05;1;0;1.05858920377712
2019-02-06;1;0;1.05679609457948
2019-02-07;1;0;1.05500665262715
2019-02-08;1;0;1.05325074904217
2019-02-09;1;0;1.05154276110131
2019-02-10;1;0;1.04989698416438
2019-02-11;1;0;1.04832514285992
2019-02-12;1;0;1.04682159098539
2019-02-13;1;0;1.04539146889002
2019-02-14;1;0;1.04403644509223
2019-02-15;1;0;1.04275144948608
2019-02-16;1;0;1.04153449122196
2019-02-17;1;0;1.04037901229475
2019-02-18;1;0;1.03928889785323
2019-02-19;1;0;1.03825165273927
2019-02-20;1;0;1.03726848649987
2019-02-21;1;0;1.03633904143039
2019-02-22;1;0;1.03545409661079
2019-02-23;1;0;1.03461370048892
2019-02-24;1;0;1.03381502195863
2019-02-25;1;0;1.03305704869624
2019-02-26;1;0;1.03233379393307
2019-02-27;1;0;1.038966578403
2019-02-28;1;0;1.06169458022979
2019-03-01;1;0;1.06261260671347
2019-03-02;1;0;1.06085595616429
2019-03-03;1;0;1.05909116487678
2019-03-04;1;0;1.07099243012317
2019-03-05;1;0;1.06877807490329
2019-03-06;1;0;1.06659063968495
2019-03-07;1;0;1.1575590336641
2019-03-08;1;0;1.19457583315386
2019-03-09;1;0;1.18391384467744
2019-03-10;1;0;1.17178632703247
2019-03-11;1;0;1.16017249429358
2019-03-12;1;0;1.14973851045041
2019-03-13;1;0;1.14034959948557
2019-03-14;1;0;1.1321085983117
2019-03-15;1;0;1.12472026008807
2019-03-16;1;0;1.11813373313273
2019-03-17;1;0;1.11547696517121
2019-03-18;1;0;1.10998510714965
2019-03-19;1;0;1.10496640767932
2019-03-20;1;0;1.10038705228335
2019-03-21;1;0;1.09616615247962
2019-03-22;1;0;1.09229943788735
2019-03-23;1;0;1.11812580459841
2019-03-24;1;0;1.17550976163811
2019-03-25;1;0;1.19449496525258
2019-03-26;1;0;1.18136641789748
2019-03-27;1;0;1.16852740950499
2019-03-28;1;0;1.15684015965409
2019-03-29;1;0;1.14664438797684
2019-03-30;1;0;1.13945206510656
2019-03-31;1;0;1.18349488549877
2019-04-01;1;0;1.25397392566128
2019-04-02;1;0;1.28897655341242
2019-04-03;1;0;1.31969212577832
2019-04-04;1;0;1.32796279780554
2019-04-05;1;0;1.337082191596
2019-04-06;1;0;1.27033447767001
2019-04-07;1;0;1.24605913233924
2019-04-08;1;0;1.246960957561
2019-04-09;1;0;1.28564068106458
2019-04-10;1;0;1.31656123326247
2019-04-11;1;0;1.30143674793398
2019-04-12;1;0;1.26104843724728
2019-04-13;1;0;1.26602124270986
2019-04-14;1;0;1.23152200990827
2019-04-15;1;0;1.21033521723283
2019-04-16;1;0;1.23577387225702
2019-04-17;1;0;1.25309921287235
2019-04-18;1;0;1.26750073389139
2019-04-19;1;0;1.2863768881922
2019-04-20;1;0;1.28864145216014
2019-04-21;1;0;1.29069963600761
2019-04-22;1;0;1.25412418492226
2019-04-23;1;0;1.32607710699986
2019-04-24;1;0;1.31631131934786
2019-04-25;1;0;1.26228591693513
2019-04-26;1;0;1.31064350925102
2019-04-27;1;0;1.26527028138596
2019-04-28;1;0;1.3090792642561
2019-04-29;1;0;1.27979960917193
2019-04-30;1;0;1.25222715342095
2019-05-01;1;0;1.25682598214044
2019-05-02;1;0;1.29471375402712
2019-05-03;1;0;1.31883216999606
2019-05-04;1;0;1.29407592022059
2019-05-05;1;0;1.26942540742311
2019-05-06;1;0;1.22533119365635
2019-05-07;1;0;1.19842934445179
2019-05-08;1;0;1.21590178862222
2019-05-09;1;0;1.31165628125053
2019-05-10;1;0;1.29463443175206
2019-05-11;1;0;1.31604378517685
2019-05-12;1;0;1.30629080626359
2019-05-13;1;0;1.2479610490724
2019-05-14;1;0;1.21070610862025
2019-05-15;1;0;1.20287310047397
2019-05-16;1;0;1.1954994908439
2019-05-17;1;0;1.20038247029823
2019-05-18;1;0;1.27093675721444
2019-05-19;1;0;1.29367692423482
2019-05-20;1;0;1.28941216817775
2019-05-21;1;0;1.26135261628934
2019-05-22;1;0;1.21882133156899
2019-05-23;1;0;1.17817174637866
2019-05-24;1;0;1.15156237572654
2019-05-25;1;0;1.205397563731
2019-05-26;1;0;1.20065398457593
2019-05-27;1;0;1.25121025586281
2019-05-28;1;0;1.30778678744865
2019-05-29;1;0;1.30648252803676
2019-05-30;1;0;1.22647992282738
2019-05-31;1;0;1.19477481107745
2019-06-01;1;0;1.15861695287265
2019-06-02;1;0;1.13165191648928
2019-06-03;1;0;1.11530577827079
2019-06-04;1;0;1.14097156119379
2019-06-05;1;0;1.1841654672407
2019-06-06;1;0;1.27035464037645
2019-06-07;0.997326771189255;0.000782643202524691;1.21958212323643
2019-06-08;0.998143629291208;0.00107129591288158;1.18238585592588
2019-06-09;1;0;1.17573284307146
2019-06-10;1;0;1.19015950792292
2019-06-11;1;0;1.29857497628713
2019-06-12;1;5.55111512312578e-17;1.32571271942741
2019-06-13;1;0;1.23145316237252
2019-06-14;0.998478730655879;0.00318828486070055;1.18334728060901
2019-06-15;1;0;1.20954719813782
2019-06-16;1;0;1.22316717164624
2019-06-17;0.999769736283292;0.000346590756038045;1.21207649981069
2019-06-18;1;0;1.22150812877954
2019-06-19;1;2.22044604925031e-16;1.23208537517792
2019-06-20;1;0;1.26946891112563
2019-06-21;1;0;1.3074080050975
2019-06-22;1;2.77555756156289e-17;1.31849341323585
2019-06-23;1;0;1.23103021101504
2019-06-24;0.999487212114939;0.00145999343779479;1.17574901068547
2019-06-25;0.999627305221398;0.00119502249924874;1.13006474895589
2019-06-26;0.999358584904723;0.00244649531355901;1.08417960006148
2019-06-27;0.998952449709365;0.00477536448246951;1.03407724431044
2019-06-28;0.99931426465405;0.00286295972736639;0.993032301613889
2019-06-29;0.999506756907547;0.00188990133481859;0.957248209620047
2019-06-30;0.999575698133695;0.00137309165300703;0.930975783187368
2019-07-01;1;0;0.963942374019148
2019-07-02;1;0;1.02719843007184
2019-07-03;1;0;1.08098081830145
2019-07-04;0.999864555080313;0.000105546959905278;1.08197132918002
2019-07-05;0.999518676829507;0.00156605056068537;1.05061057371178
2019-07-06;1;0;1.04575230356991
2019-07-07;1;0;1.06110433877572
2019-07-08;1;0;1.07337322825581
2019-07-09;1;0;1.12292164240422
2019-07-10;0.99964126020651;0.000230407317455827;1.11955270458618
2019-07-11;1;0;1.12502621669826
2019-07-12;0.999893948529709;0.000120869977576099;1.12355534462673
2019-07-13;0.999544214423068;0.00109110341444962;1.09976496068889
2019-07-14;1;0;1.10929363108604
