date;b01;b02;b03;b04;b05;b06;b07;b08;b08a;b09;b11;b12
2019-01-22;0.157900005578995;0.148800000548363;0.161400005221367;0.157499998807907;0.178599998354912;0.263399988412857;0.284000009298325;0.293700009584427;0.302500009536743;0.309399992227554;0.155300006270409;0.138600006699562
2019-01-29;0.178299993276596;0.169400006532669;0.165999993681908;0.157499998807907;0.194700002670288;0.29449999332428;0.316500008106232;0.323500007390976;0.320600003004074;0.334100008010864;0.142299994826317;0.123000003397465
2019-02-05;0.171800002455711;0.183799996972084;0.182500004768372;0.182799994945526;0.24099999666214;0.365099996328354;0.400700002908707;0.366100013256073;0.404000014066696;0.386500000953674;0.18979999423027;0.187600001692772
2019-02-12;0.0688999965786934;0.0825000032782555;0.0957999974489212;0.09740000218153;0.114450000226498;0.175150007009506;0.196549996733665;0.199499994516373;0.208949998021126;0.206200003623962;0.13204999268055;0.116049997508526
2019-02-19;0.0874999985098839;0.0925000011920929;0.108900003135204;0.105400003492832;0.13230000436306;0.220599994063377;0.24439999461174;0.255800008773804;0.273200005292892;0.268299996852875;0.157499998807907;0.128000006079674
2019-02-26;0.097800001502037;0.102399997413158;0.112700000405312;0.110100001096725;0.128600001335144;0.221599996089935;0.250800013542175;0.259799987077713;0.279700011014938;0.268799990415573;0.160999998450279;0.130700007081032
2019-03-05;0.101700000464916;0.0992999970912933;0.110799998044968;0.110100001096725;0.131899997591972;0.219899997115135;0.250900000333786;0.256999999284744;0.261400014162064;0.266200006008148;0.160999998450279;0.132499992847443
2019-03-12;0.114900000393391;0.11089999973774;0.126499995589256;0.11710000038147;0.147300004959106;0.228499993681908;0.267800003290176;0.268400013446808;0.289799988269806;0.287099987268448;0.175500005483627;0.140499994158745
2019-03-19;0.113799996674061;0.113849997520447;0.121799997985363;0.111900001764297;0.145300000905991;0.228300005197525;0.250800013542175;0.250800013542175;0.270350009202957;0.271450012922287;0.170200005173683;0.136199995875359
2019-03-26;0.118100002408028;0.120999999344349;0.130400002002716;0.128099992871284;0.152400001883507;0.221000000834465;0.252600014209747;0.257999986410141;0.274599999189377;0.272599995136261;0.1807000041008;0.150800004601479
2019-04-16;0.12559999525547;0.12389999628067;0.127900004386902;0.117600001394749;0.149900004267693;0.234099999070168;0.266299992799759;0.254700005054474;0.281300008296967;0.282299995422363;0.185499995946884;0.145699992775917
2019-05-28;0.14190000295639;0.133599996566772;0.147900000214577;0.131500005722046;0.179000005125999;0.28439998626709;0.317400008440018;0.316100001335144;0.342999994754791;0.333700001239777;0.212999999523163;0.158700004220009
2019-06-25;0.114399999380112;0.119999997317791;0.131500005722046;0.117899999022484;0.152500003576279;0.259999990463257;0.30129998922348;0.300500005483627;0.316799998283386;0.31479999423027;0.19650000333786;0.150499999523163
2019-07-23;0.118600003421307;0.114900000393391;0.12899999320507;0.118400000035763;0.153099998831749;0.2533999979496;0.294900000095367;0.277399986982346;0.297699987888336;0.30799999833107;0.187999993562698;0.145899996161461
2019-08-27;0.119400002062321;0.121200002729893;0.128199994564056;0.119000002741814;0.150199994444847;0.24439999461174;0.27250000834465;0.264299988746643;0.286700010299683;0.291700005531311;0.177100002765656;0.139799997210503
2019-09-10;0.112099997699261;0.116899996995926;0.121500000357628;0.115500003099442;0.140499994158745;0.217099994421005;0.256199985742569;0.243599995970726;0.279000014066696;0.277999997138977;0.171399995684624;0.133399993181229
2019-09-17;0.113399997353554;0.112800002098083;0.124200001358986;0.117299996316433;0.141000002622604;0.223499998450279;0.263099998235703;0.252499997615814;0.26800000667572;0.274199992418289;0.165600001811981;0.132699996232986
2019-10-08;0.105099998414516;0.105499997735023;0.116899996995926;0.110799998044968;0.139599993824959;0.208499997854233;0.238100007176399;0.235499992966652;0.265399992465973;0.268799990415573;0.160999998450279;0.128199994564056
2019-10-22;0.100900001823902;0.110600002110004;0.117700003087521;0.114000000059605;0.134499996900558;0.205599993467331;0.241099998354912;0.231000006198883;0.255100011825562;0.261000007390976;0.158099994063377;0.126300007104874
2019-11-05;0.110600002110004;0.113899998366833;0.120999999344349;0.119199998676777;0.13740000128746;0.21170000731945;0.234599992632866;0.239600002765656;0.256300002336502;0.262199997901917;0.142199993133545;0.120200000703335
2019-11-26;0.123800002038479;0.1233000010252;0.128499999642372;0.115000002086163;0.138899996876717;0.196400001645088;0.217399999499321;0.225899994373322;0.243300005793571;0.254000008106232;0.147200003266335;0.123499996960163
2019-12-03;0.105899997055531;0.114200003445148;0.120700001716614;0.112999998033047;0.133699998259544;0.212899997830391;0.235499992966652;0.25450000166893;0.26230001449585;0.2533999979496;0.145300000905991;0.122800000011921
2019-12-10;0.260500013828278;0.346100002527237;0.326400011777878;0.304300010204315;0.322499990463257;0.37720000743866;0.395099997520447;0.480500012636185;0.417199999094009;0.454299986362457;0.334699988365173;0.334899991750717
2019-12-24;0.116449996829033;0.0864000022411346;0.120350003242493;0.114600002765656;0.134749993681908;0.211999997496605;0.228049993515015;0.241300001740456;0.253650009632111;0.25534999370575;0.147900000214577;0.123450003564358
2020-01-07;0.190500006079674;0.179800003767014;0.175400003790855;0.170100003480911;0.194700002670288;0.258199989795685;0.270599991083145;0.27810001373291;0.278600007295609;0.330399990081787;0.179499998688698;0.155499994754791
2020-01-14;0.115599997341633;0.115199998021126;0.120650000870228;0.112949997186661;0.137050002813339;0.219600006937981;0.240349993109703;0.252050012350082;0.24940000474453;0.256099998950958;0.151850000023842;0.124949999153614
