dates;tmean;prec;tmin;tmax;globrad;vappres;windspeed
2019-01-01;-3.28071695963539;0.00217490276810395;-9.99960937499998;2.01943359375002;5.66920060546875;0.339809041248854;2.06206390111429
2019-01-02;-6.24912109374998;1.65850896792108;-10.53671875;-5.43637695312498;5.82476296484375;0.207983511814038;2.41314978690031
2019-01-03;-9.93502400716144;0.147994763779025;-15.030615234375;-8.71933593749998;6.58055477734375;0.123080866805157;2.75361399602424
2019-01-04;-10.1711690266927;0.374821684999915;-14.790625;-6.49594726562498;6.29929882446671;0.154227434667623;2.26896200424981
2019-01-05;-6.91649983723956;2.90205837791291;-13.785986328125;-2.33432617187498;5.33984557446671;0.268816462201978;2.51501472984948
2019-01-06;-4.30820312499998;1.27503528619854;-8.54062499999998;-1.62314453124998;6.22603742602921;0.287476441402255;2.48674373373538
2019-01-07;-4.5064758300781;0.119357343749016;-8.12241210937498;-1.20444335937498;5.56850506274796;0.276341713484687;2.10637660592541
2019-01-08;-4.99065755208331;0.858636049088091;-10.31259765625;-1.34848632812498;4.17630062134171;0.272089611291313;1.7722256645581
2019-01-09;-8.69345703124998;1.26123492827901;-12.74228515625;-5.58286132812498;5.93706103347778;0.197769997083607;2.17175246520989
2019-01-10;-10.4608520507812;0.285225524748967;-15.382421875;-6.33554687499998;6.68701069165039;0.169804417022041;2.3677027172227
2019-01-11;-12.8605147043864;0.0781491370958065;-19.3913024902344;-8.94370117187498;7.27087208642578;0.13655698041773;2.14642831703564
2019-01-12;-7.00007731119789;0.106006280475412;-12.140234375;-2.57773437499998;5.96377033642578;0.247669862282359;2.41759723474677
2019-01-13;-3.36579996744789;3.58157097070944;-10.32333984375;-1.03720703124998;6.07292632861328;0.381642417664826;2.14359018337929
2019-01-14;-3.33944295247394;3.36369499564171;-7.63217773437498;-1.06699218749998;6.94942611987305;0.337622379710349;2.60807058808929
2019-01-15;-6.51499023437498;0.183962356459233;-12.85849609375;-4.31210937499998;7.52526598706055;0.202496901272246;2.63538202690334
2019-01-16;-6.97194010416664;9.24684151470956e-05;-15.31015625;0.618798828125023;7.57396842456055;0.234929304926951;1.44762850056649
2019-01-17;-3.47874552408852;2.70074644419083;-9.56210937499998;-1.49692382812498;2.96273536401367;0.391854789788057;0.561072589005755
2019-01-18;-3.98226521809894;3.794363364932;-11.219580078125;-3.28037109374998;7.30465400805664;0.2912371381088;0.90531985183682
2019-01-19;-9.43769938151039;0.146979037651818;-17.04306640625;-5.31772460937498;6.01786643481445;0.211120419100909;0.61920802669657
2019-01-20;-9.73339436848956;0.00113849904437302;-17.2187713623047;-3.91098632812498;7.63932585839844;0.19458810618207;1.04096172523677
2019-01-21;-10.1075398763021;0.000983112727226398;-18.154165649414;-3.42319335937498;8.14580071948242;0.16260834821917;0.949993660309271
2019-01-22;-9.52079874674477;0.116646614515048;-18.0592864990234;-3.37216796874998;8.27638749536133;0.160633121859462;1.05385146430672
2019-01-23;-7.72174682617185;3.44295529066585;-10.4087890625;-6.07260742187498;4.8090141027832;0.266241449997241;0.749753913502689
2019-01-24;-10.066758219401;0.00730783131075441;-14.668798828125;-5.59433593749998;8.66863824609375;0.18511758030714;1.26878301491786
2019-01-25;-12.3068603515625;0.00113849904437302;-17.5293029785156;-8.29697265624998;9.0081495703125;0.139255200930376;2.14479598012953
2019-01-26;-8.40897216796873;0.0556296790250599;-16.18076171875;-0.368749999999977;8.18506758926392;0.221433206897297;2.3107462950331
2019-01-27;-5.53360595703123;2.84902255555153;-10.164892578125;-3.64780273437498;6.31805074942017;0.330143683549618;0.795806319432302
2019-01-28;-5.7022766113281;1.99603594049691;-11.351416015625;-4.14389648437498;6.01767884204102;0.282218344445888;0.975185906408869
2019-01-29;-8.5620178222656;0.961797149443555;-14.72861328125;-4.53671874999998;8.78065597387695;0.200196292774395;1.06366096768576
2019-01-30;-6.9843811035156;3.41810581448954;-11.37216796875;-5.66733398437498;5.69644633959961;0.277277614721939;0.535268387787935
2019-01-31;-6.27782796223956;2.41046075552731;-11.551123046875;-5.08310546874998;6.77805600805664;0.289366132275379;0.293413868499647
2019-02-01;-2.7392639160156;29.8918371845502;-7.51157226562498;-1.22202148437498;1.96007417260742;0.452895859057613;1.06976708016971
2019-02-02;-0.308386230468727;36.1944080359535;-2.66806640624998;0.517236328125023;3.95192976367187;0.570082428552989;1.15692217415211
2019-02-03;-1.79828491210935;20.4582700243918;-5.38339843749998;-1.10336914062498;3.786253734375;0.437470291246263;0.665060961026174
2019-02-04;-5.80744018554685;0.0324543489114149;-11.005224609375;-1.66245117187498;10.2806226953125;0.263392284633836;0.975718245032679
2019-02-05;-6.9397033691406;0;-14.681982421875;-1.18442382812498;10.58555409375;0.208041153022877;1.38665735573632
2019-02-06;-5.30030924479164;0;-13.714697265625;2.11416015625002;10.6575960703125;0.222691872603553;1.14414020281768
2019-02-07;-4.66293945312498;0.382240788894705;-11.9068359375;1.32363281250002;9.7433711015625;0.243279490604617;0.850708545494271
2019-02-08;-2.70357869466144;1.06400034314902;-8.67539062499998;0.694238281250023;10.1443183984375;0.360191465858454;1.00702692369465
2019-02-09;-3.70152384440102;0;-10.452978515625;1.24355468750002;10.342136859375;0.343314475595237;0.909513744242644
2019-02-10;-2.06023763020831;5.35213574499949;-6.68051757812498;-1.01938476562498;3.32740098046875;0.44472643503777;0.436115074427475
2019-02-11;-3.55299479166664;2.73002907670161;-7.08896484374998;-2.53037109374998;10.3720644257813;0.314712919610447;2.07123726103533
